🌊 Démarrage du moteur de placement OPTIMAL Spark...
👀 Surveillance de : hdfs://localhost:9000/marsa_maroc/bronze/streaming
  ✅ TCKU3528875 placé en B-016-I-04
  ✅ CMAU8904618 placé en B-023-D-04
  ✅ MSCU2066871 placé en D-020-F-04
  ✅ TCKU8541730 placé en D-016-I-04
  ✅ MSCU8632686 placé en D-023-D-04
  ✅ MRKU9036006 placé en D-012-L-04
  ✅ TLLU7289528 placé en B-012-L-04
  ✅ TLLU7944939 placé en D-019-G-04
  ✅ TLLU3528635 placé en B-019-G-04
  ✅ TLLU3754354 placé en B-015-J-04
  ✅ MSCU2561476 placé en D-015-J-04
  ✅ CMAU5451264 placé en B-022-E-04
  ✅ TCKU2648582 placé en B-018-H-04
  ✅ TLLU5522977 placé en D-022-E-04
  ✅ CMAU6755560 placé en B-014-K-04
  ✅ MRKU2262564 placé en D-018-H-04
  ✅ CMAU5985218 placé en D-014-K-04
  ✅ TCKU9731155 placé en B-021-F-04
  ✅ CMAU0253342 placé en D-021-F-04
  ✅ CMAU4782819 placé en B-017-I-04
  ✅ TCKU0167601 placé en B-024-D-04
  ✅ TCKU8022695 placé en D-017-I-04
  ✅ MSCU0874227 placé en D-024-D-04
  ✅ MSCU3245346 placé en B-013-L-04
  ✅ MSCU6929987 placé en B-020-G-04
  ✅ TLLU1255141 placé en B-016-J-04
  ✅ CMAU4797834 placé en B-023-E-04
  ✅ MRKU3269708 placé en D-013-L-04
  ✅ TLLU1502945 placé en D-020-G-04
  ✅ TLLU8379244 placé en D-016-J-04
  ✅ MSCU9609586 placé en D-023-E-04
  ✅ MSCU5223379 placé en B-019-H-04
  ✅ CMAU9502465 placé en D-019-H-04
  ✅ CMAU3311705 placé en B-015-K-04
  ✅ TLLU7094329 placé en B-022-F-04
  ✅ TCKU9332052 placé en B-018-I-04
  ✅ TLLU4357072 placé en B-014-L-04
  ✅ CMAU1560931 placé en B-021-G-04
  ✅ CMAU4684186 placé en D-015-K-04
  ✅ MRKU7683848 placé en B-017-J-04
  ✅ CMAU1242103 placé en D-022-F-04
  ✅ CMAU1573652 placé en D-018-I-04
  ✅ TCKU6601358 placé en D-014-L-04
  ✅ MSCU3894405 placé en B-024-E-04
  ✅ MSCU6321467 placé en B-020-H-04
  ✅ TCKU8216860 placé en D-021-G-04
  ✅ MSCU8076368 placé en D-017-J-04
  ✅ TLLU8960147 placé en D-024-E-04
  ✅ CMAU4178094 placé en D-020-H-04
  ✅ MSCU5228490 placé en D-016-K-04
  ✅ CMAU9734107 placé en D-023-F-04
  ✅ MSCU4295396 placé en D-019-I-04
  ✅ TLLU8148295 placé en D-015-L-04
  ✅ CMAU8418220 placé en D-022-G-04
  ✅ TLLU1082741 placé en D-018-J-04
  ✅ TLLU8789545 placé en B-016-K-04
  ✅ MRKU7508993 placé en D-021-H-04
  ✅ MRKU0386615 placé en B-023-F-04
  ✅ MRKU2111006 placé en B-019-I-04
  ✅ TLLU9198274 placé en D-017-K-04
  ✅ MRKU4354074 placé en B-023-A-04
  ✅ TLLU2770689 placé en D-022-A-04
  ✅ TCKU9600841 placé en D-024-F-04
  ✅ MSCU6731805 placé en B-015-L-04
  ✅ TCKU6125637 placé en D-020-I-04
  ✅ CMAU3083403 placé en D-016-L-04
  ✅ CMAU5349912 placé en B-022-G-04
  ✅ MSCU8586808 placé en B-018-J-04
  ✅ MRKU4040099 placé en D-023-G-04
  ✅ TCKU2497255 placé en B-021-H-04
  ✅ TCKU4055599 placé en D-019-J-04
  ✅ TLLU7412245 placé en D-022-H-04
  ✅ TLLU7570121 placé en B-017-K-04
  ✅ CMAU7789546 placé en B-024-F-04
  ✅ TLLU7170590 placé en D-018-K-04
  ✅ MSCU0760164 placé en D-021-I-04
  ✅ MSCU5369217 placé en B-020-I-04
  ✅ TLLU2853413 placé en D-017-L-04
  ✅ MSCU7089148 placé en B-016-L-04
  ✅ MSCU4781050 placé en B-023-G-04
  ✅ CMAU2984258 placé en B-019-J-04
  ✅ CMAU0390226 placé en B-022-H-04
  ✅ MSCU1631250 placé en B-018-K-04
  ✅ CMAU9917552 placé en D-024-G-04
  ✅ CMAU1467952 placé en D-020-J-04
  ✅ MSCU0052137 placé en B-021-I-04
  ✅ CMAU9888285 placé en D-023-H-04
  ✅ TCKU4318699 placé en B-017-L-04
  ✅ TLLU4691776 placé en B-024-G-04
  ✅ MRKU6388012 placé en B-020-J-04
  ✅ MRKU5884707 placé en B-023-H-04
  ✅ TCKU0689720 placé en B-019-K-04
  ✅ MRKU6540187 placé en D-019-K-04
  ✅ MSCU0459094 placé en B-022-I-04
  ✅ TCKU2434741 placé en D-022-I-04
  ✅ MSCU6776801 placé en D-018-L-04
  ✅ MRKU0389627 placé en B-018-L-04
  ✅ MSCU7300092 placé en D-021-J-04
  ✅ TCKU5409677 placé en D-024-H-04
  ✅ MSCU7771332 placé en B-021-J-04
  ✅ MSCU0690118 placé en B-024-H-04
  ✅ CMAU4174465 placé en D-020-K-04
  ✅ CMAU6644414 placé en B-020-K-04
  ✅ MRKU9931082 placé en B-023-I-04
  ✅ CMAU0138796 placé en D-023-I-04
  ✅ CMAU6234838 placé en D-019-L-04
  ✅ CMAU6249901 placé en B-019-L-04
  ✅ MSCU1462849 placé en B-022-J-04
  ✅ MRKU8588686 placé en D-022-J-04
  ✅ MSCU1828320 placé en D-021-K-04
  ✅ MRKU5738405 placé en D-024-I-04
  ✅ MSCU5709876 placé en B-021-K-04
  ✅ MRKU9282687 placé en D-020-L-04
  ✅ TCKU2538293 placé en B-024-I-04
  ✅ TCKU3451988 placé en B-020-L-04
  ✅ MSCU7115057 placé en B-023-J-04
  ✅ MRKU5293179 placé en D-023-J-04
  ✅ MSCU5530266 placé en D-022-K-04
  ✅ TLLU7968640 placé en D-021-L-04
  ✅ MRKU5348403 placé en D-024-J-04
  ✅ MRKU3032495 placé en D-023-K-04
  ✅ TCKU8457541 placé en D-022-L-04
  ✅ CMAU8123890 placé en D-024-K-04
  ✅ TCKU5969879 placé en D-023-L-04
  ✅ TCKU2405803 placé en D-024-L-04
  ✅ MSCU9629454 placé en C-001-A-05
  ✅ MRKU5485727 placé en C-002-A-05
  ✅ TLLU5614456 placé en B-022-K-04
  ✅ MRKU6496068 placé en B-021-L-04
  ✅ MSCU1169200 placé en B-024-J-04
  ✅ MSCU8778931 placé en C-001-B-05
  ✅ MSCU1986124 placé en B-023-K-04
  ✅ MSCU4760497 placé en C-003-A-05
  ✅ TLLU3627885 placé en C-002-B-05
  ✅ MSCU1108040 placé en C-001-C-05
  ✅ TLLU1453224 placé en B-022-L-04
  ✅ TCKU7672012 placé en C-004-A-05
  ✅ MRKU6137279 placé en C-003-B-05
  ✅ CMAU3326255 placé en B-024-K-04
  ✅ TLLU9220822 placé en B-023-L-04
  ✅ TLLU8550943 placé en B-024-L-04
  ✅ TCKU7884436 placé en A-001-A-05
  ✅ TCKU7073015 placé en A-002-A-05
  ✅ TLLU1748975 placé en A-001-B-05
  ✅ MSCU5993526 placé en A-003-A-05
  ✅ TLLU6759142 placé en C-002-C-05
  ✅ TLLU3420528 placé en C-005-A-05
  ✅ MSCU1821032 placé en C-001-D-05
  ✅ CMAU5062051 placé en C-004-B-05
  ✅ MRKU4442225 placé en A-002-B-05
  ✅ TCKU5324943 placé en C-003-C-05
  ✅ MSCU6522552 placé en C-006-A-05
  ✅ CMAU7503500 placé en C-002-D-05
  ✅ MSCU7592530 placé en C-005-B-05
  ✅ MRKU4476238 placé en C-004-C-05
  ✅ CMAU0408579 placé en C-007-A-05
  ✅ TLLU1328682 placé en A-001-C-05
  ✅ CMAU1618937 placé en C-003-D-05
  ✅ CMAU4390270 placé en C-006-B-05
  ✅ TCKU3876017 placé en C-005-C-05
  ✅ MSCU3138255 placé en C-008-A-05
  ✅ TCKU0677938 placé en C-004-D-05
  ✅ TLLU2921545 placé en C-007-B-05
  ✅ MSCU9074870 placé en A-004-A-05
  ✅ TCKU7545250 placé en C-006-C-05
  ✅ TLLU9152945 placé en C-009-A-05
  ✅ TLLU2163967 placé en C-005-D-05
  ✅ TCKU1738506 placé en C-008-B-05
  ✅ CMAU4673449 placé en C-007-C-05
  ✅ TLLU1781008 placé en A-003-B-05
  ✅ TCKU3231725 placé en C-010-A-05
  ✅ TLLU4385385 placé en C-006-D-05
  ✅ MSCU4134745 placé en C-009-B-05
  ✅ TCKU7180081 placé en A-002-C-05
  ✅ MRKU8323473 placé en A-005-A-05
  ✅ MRKU1587950 placé en A-001-D-05
  ✅ MSCU7336810 placé en C-008-C-05
  ✅ CMAU2885154 placé en A-004-B-05
  ✅ TCKU9266670 placé en A-003-C-05
  ✅ TCKU5729980 placé en C-011-A-05
  ✅ CMAU4856668 placé en C-007-D-05
  ✅ MRKU8206776 placé en C-010-B-05
  ✅ CMAU3361676 placé en C-009-C-05
  ✅ MRKU4698769 placé en A-006-A-05
  ✅ TCKU8504632 placé en C-012-A-05
  ✅ CMAU4827700 placé en C-008-D-05
  ✅ MRKU9212359 placé en A-002-D-05
  ✅ TCKU6218866 placé en A-005-B-05
  ✅ MSCU3292776 placé en A-004-C-05
  ✅ MSCU9557919 placé en A-007-A-05
  ✅ TCKU6454232 placé en A-003-D-05
  ✅ TLLU8372680 placé en C-011-B-05
  ✅ MSCU5127128 placé en A-006-B-05
  ✅ TCKU4236070 placé en A-005-C-05
  ✅ MRKU2100147 placé en C-010-C-05
  ✅ MRKU9405228 placé en C-013-A-05
  ✅ CMAU7695602 placé en C-009-D-05
  ✅ MRKU2057075 placé en A-008-A-05
  ✅ MSCU6994371 placé en A-004-D-05
  ✅ MSCU0433691 placé en C-002-F-05
  ✅ MRKU0127030 placé en C-003-E-05
  ✅ TCKU0539617 placé en C-002-G-05
  ✅ TCKU2129824 placé en C-001-H-05
  ✅ TCKU6737805 placé en A-007-B-05
  ✅ CMAU1704717 placé en C-001-I-05
  ✅ CMAU3137147 placé en A-006-C-05
  ✅ MRKU9951313 placé en C-012-B-05
  ✅ CMAU5315655 placé en A-009-A-05
  ✅ MSCU5352702 placé en C-003-F-05
  ✅ MRKU6346959 placé en C-004-E-05
  ✅ MSCU5537728 placé en A-005-D-05
  ✅ TLLU2292189 placé en C-003-G-05
  ✅ MRKU0981121 placé en A-008-B-05
  ✅ MRKU7183981 placé en C-004-F-05
  ✅ MRKU2496374 placé en C-002-H-05
  ✅ MSCU6984554 placé en C-002-I-05
  ✅ MRKU0684728 placé en C-003-H-05
  ✅ CMAU7608030 placé en C-005-E-05
  ✅ TLLU4925193 placé en A-001-E-05
  ✅ MRKU3065588 placé en A-002-E-05
  ✅ MRKU3010819 placé en C-006-E-05
  ✅ TCKU8315286 placé en C-005-F-05
  ✅ MSCU2547486 placé en C-004-G-05
  ✅ TLLU6945773 placé en A-001-F-05
  ✅ CMAU8421786 placé en A-003-E-05
  ✅ MSCU5764615 placé en A-002-F-05
  ✅ MSCU9291331 placé en C-006-F-05
  ✅ CMAU5018845 placé en C-005-G-05
  ✅ TLLU0105471 placé en C-001-J-05
  ✅ CMAU7084679 placé en C-007-E-05
  ✅ CMAU0157740 placé en C-004-H-05
  ✅ TLLU8860524 placé en A-001-G-05
  ✅ TCKU1756623 placé en A-004-E-05
  ✅ MSCU2689034 placé en A-007-C-05
  ✅ MRKU2182566 placé en D-001-A-05
  ✅ TLLU3076909 placé en A-003-F-05
  ✅ MRKU7676556 placé en A-010-A-05
  ✅ MRKU9895639 placé en C-011-C-05
  ✅ TLLU4005415 placé en C-014-A-05
  ✅ MRKU2379324 placé en A-006-D-05
  ✅ CMAU8028356 placé en A-002-G-05
  ✅ TLLU8527060 placé en C-008-E-05
  ✅ CMAU4392975 placé en A-009-B-05
  ✅ MSCU6110384 placé en C-007-F-05
  ✅ MRKU5699768 placé en A-005-E-05
  ✅ TCKU6725998 placé en C-003-I-05
  ✅ MRKU0061134 placé en C-010-D-05
  ✅ CMAU0927304 placé en A-001-H-05
  ✅ MSCU0085999 placé en C-006-G-05
  ✅ MSCU2123453 placé en A-008-C-05
  ✅ MSCU6600391 placé en C-013-B-05
  ✅ CMAU0462025 placé en C-002-J-05
  ✅ TLLU3397323 placé en A-004-F-05
  ✅ MRKU7468210 placé en A-011-A-05
  ✅ TCKU9912453 placé en A-007-D-05
  ✅ TLLU3863371 placé en C-009-E-05
  ✅ CMAU4855520 placé en C-005-H-05
  ✅ TLLU2632316 placé en A-003-G-05
  ✅ TLLU0760138 placé en D-002-A-05
  ✅ TLLU3344741 placé en A-010-B-05
  ✅ MRKU8475750 placé en A-006-E-05
  ✅ CMAU9958647 placé en A-002-H-05
  ✅ TCKU2527141 placé en C-012-C-05
  ✅ MRKU4103952 placé en C-008-F-05
  ✅ MRKU8569706 placé en A-009-C-05
  ✅ MRKU6121651 placé en C-015-A-05
  ✅ MSCU7346630 placé en C-004-I-05
  ✅ MSCU2405301 placé en A-005-F-05
  ✅ CMAU2894874 placé en A-012-A-05
  ✅ TLLU7629206 placé en A-001-I-05
  ✅ TCKU4518335 placé en D-001-B-05
  ✅ TLLU0618330 placé en C-011-D-05
  ✅ TLLU9928830 placé en A-008-D-05
  ✅ MSCU7711066 placé en A-004-G-05
  ✅ TLLU3985560 placé en C-007-G-05
  ✅ TCKU5127925 placé en C-014-B-05
  ✅ CMAU8860599 placé en A-011-B-05
  ✅ TCKU8203884 placé en A-007-E-05
  ✅ CMAU9324011 placé en C-003-J-05
  ✅ MRKU7552488 placé en A-003-H-05
  ✅ MSCU3512009 placé en A-010-C-05
  ✅ MSCU3470729 placé en C-001-K-05
  ✅ MSCU0573606 placé en A-006-F-05
  ✅ MSCU7886710 placé en A-013-A-05
  ✅ CMAU8889515 placé en A-002-I-05
  ✅ MRKU1150255 placé en C-010-E-05
  ✅ MSCU7606867 placé en C-006-H-05
  ✅ TCKU8424946 placé en D-003-A-05
  ✅ TCKU6494066 placé en C-013-C-05
  ✅ TCKU9386771 placé en C-002-K-05
  ✅ MSCU0229308 placé en C-009-F-05
  ✅ MRKU1645388 placé en C-016-A-05
  ✅ CMAU7759872 placé en C-005-I-05
  ✅ TLLU9268377 placé en A-009-D-05
  ✅ MRKU6274499 placé en A-005-G-05
  ✅ MRKU9519963 placé en D-002-B-05
  ✅ TCKU4961750 placé en A-012-B-05
  ✅ CMAU8860090 placé en C-012-D-05
  ✅ TLLU8207824 placé en C-001-L-05
  ✅ MSCU7999743 placé en C-008-G-05
  ✅ MSCU0569689 placé en C-015-B-05
  ✅ MSCU9584016 placé en C-001-E-05
  ✅ TLLU2574154 placé en A-001-J-05
  ✅ TLLU4434994 placé en C-001-F-05
  ✅ MRKU1114842 placé en A-008-E-05
  ✅ TCKU0698210 placé en C-002-E-05
  ✅ TLLU8468947 placé en C-001-G-05
  ✅ MSCU8213290 placé en A-004-H-05
  ✅ TLLU9591717 placé en C-004-J-05
  ✅ TCKU4398948 placé en D-001-C-05
💾 369 placements enregistrés dans MongoDB.
📦 Batch 1 : Traitement de 3 nouveaux conteneurs...
  ✅ MSCU2372877 placé en B-001-A-05
  ✅ TLLU9143742 placé en A-011-C-05
  ✅ TCKU8983061 placé en A-014-A-05
💾 3 placements enregistrés dans MongoDB.
📦 Batch 2 : Traitement de 1 nouveaux conteneurs...
  ✅ TLLU6506141 placé en C-011-E-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 3 : Traitement de 1 nouveaux conteneurs...
  ✅ CMAU2730738 placé en A-013-B-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 4 : Traitement de 1 nouveaux conteneurs...
  ✅ MRKU2584198 placé en D-004-A-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 5 : Traitement de 1 nouveaux conteneurs...
  ✅ CMAU1409287 placé en C-014-C-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 6 : Traitement de 1 nouveaux conteneurs...
  ✅ TLLU6481721 placé en A-010-D-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 7 : Traitement de 1 nouveaux conteneurs...
  ✅ MRKU1500602 placé en C-017-A-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 8 : Traitement de 1 nouveaux conteneurs...
  ✅ CMAU0195205 placé en D-003-B-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 9 : Traitement de 1 nouveaux conteneurs...
  ✅ MRKU1277768 placé en C-013-D-05
💾 1 placements enregistrés dans MongoDB.
📦 Batch 10 : Traitement de 1 nouveaux conteneurs...
  ✅ MSCU6686328 placé en C-016-B-05
