id,size,weight,departure_time,type,slot
VALID_9212_71C5,20,2.7,2026-04-14 19:18:40,export,B-001-A-01
VALID_9872_044E,20,15.8,04/12/2026 19:18,transshipment,B-010-C-04
VALID_2508_D6AC,20,27.3,2026-04-17,import,C-018-C-02
VALID_4127_005C,40,2.9,2026-04-26,import,A-009-B-01
VALID_1142_6894,20,32.3,2026-04-14 19:18:40,transshipment,C-014-A-01
VALID_8533_5174,40,6.7,2026-04-21T19:18:40.709331,import,E-012-A-01
VALID_5191_413F,40,32.8,04/19/2026 19:18,export,D-020-C-05
VALID_7209_8907,20,19.7,2026-04-12 19:18:40,transshipment,E-007-B-01
HIGH_W_5413_0D2E,40,150.0,2026-04-16,export,X-002-X-02
VALID_2597_54D7,20,31.9,2026-04-14,transshipment,B-020-A-05
VALID_4641_EE50,40,30.7,2026-04-15,export,C-014-B-03
VALID_2245_0F85,20,19.3,2026-04-19 19:18:40,export,D-002-C-05
TYPE_8908_1842,20,10.0,2026-04-16,lost_cargo,X-004-X-04
FMT_6963_8D9F,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_2468_E369,40,28.0,2026-04-25T19:18:40.711147,import,A-014-B-03
VALID_5177_36A8,40,24.2,04/19/2026 19:18,export,D-020-A-04
VALID_8434_8C8D,20,19.5,2026-04-18,import,B-012-C-01
FMT_4299_787C,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_3699_421A,20,35.4,2026-04-17,import,D-003-A-01
VALID_7716_7C6F,40,21.5,2026-04-15,export,E-005-C-02
VALID_9281_E9C6,20,32.8,2026-04-26 19:18:40,import,B-014-A-01
VALID_2154_CC03,20,38.4,2026-04-19 19:18:40,export,B-001-A-05
VALID_6542_B84E,40,6.8,2026-04-14 19:18:40,transshipment,C-015-A-03
HIGH_W_2458_FE76,40,150.0,2026-04-16 19:18:40,export,X-002-X-02
VALID_1486_D520,20,36.8,2026-04-14T19:18:40.727761,export,C-006-A-02
VALID_2902_797B,40,24.5,2026-04-19 19:18:40,export,D-017-B-04
VALID_5842_E7BF,20,36.0,2026-04-25T19:18:40.718198,import,D-002-B-04
VALID_2925_8F7D,20,21.4,2026-04-15T19:18:40.727266,export,B-011-B-02
VALID_3787_1C06,40,12.7,2026-04-13T19:18:40.725237,transshipment,C-008-B-05
VALID_6547_B9D5,40,10.0,2026-04-16 19:18:40,export,E-002-B-05
VALID_3717_790E,20,42.1,04/22/2026 19:18,import,E-005-C-01
NULL_4507_CFC6,,15.0,2026-04-16 19:18:40,import,Z-000-Z-00
VALID_9457_D6F8,40,24.9,04/20/2026 19:18,import,A-010-A-04
VALID_5641_5C30,40,31.3,2026-04-19T19:18:40.715480,import,A-007-A-03
VALID_6789_6C05,20,9.7,2026-04-24 19:18:40,import,B-001-B-03
VALID_3454_9720,40,13.9,2026-04-16 19:18:40,export,C-015-A-04
FMT_3949_A2AD,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_6762_CD94,20,30.9,2026-04-13 19:18:40,transshipment,B-001-A-03
VALID_8696_B191,20,28.2,2026-04-14,transshipment,E-007-C-01
VALID_9885_397B,40,44.5,04/16/2026 19:18,import,A-018-C-02
HIGH_W_7610_569E,40,150.0,2026-04-16 19:18:40,export,X-002-X-02
VALID_7120_733D,40,25.8,2026-04-13T19:18:40.723841,transshipment,D-002-B-03
NULL_3463_8AB2,20,,2026-04-16T19:18:40.728746,import,Z-000-Z-00
VALID_2836_B443,40,25.1,04/14/2026 19:18,export,A-014-B-04
PAST_8826_4CF4,20,12.0,2026-04-06 19:18:40,import,P-001-P-01
VALID_7975_FE4C,20,34.5,2026-04-15T19:18:40.721586,export,E-009-C-04
VALID_9395_D1BC,20,22.8,2026-04-14T19:18:40.710424,transshipment,D-001-B-03
VALID_2543_6BB4,20,10.9,2026-04-14 19:18:40,transshipment,C-009-C-03
VALID_8416_D115,20,2.6,04/25/2026 19:18,import,B-018-B-02
VALID_1305_481F,40,43.9,2026-04-13 19:18:40,transshipment,D-006-C-01
DUP_7161_A604,40,20.0,2026-04-16 19:18:40,import,D-000-D-00
VALID_6043_CBD2,40,14.7,2026-04-14 19:18:40,transshipment,D-002-A-05
VALID_1352_D046,20,44.0,2026-04-18,export,A-006-A-04
VALID_6945_C400,20,21.4,2026-04-14T19:18:40.718515,transshipment,E-020-C-04
NULL_4786_91DD,20,,2026-04-16,import,Z-000-Z-00
VALID_1443_059B,20,17.8,04/16/2026 19:18,export,B-006-A-02
VALID_4369_C127,20,35.1,2026-04-19 19:18:40,import,C-020-A-03
DUP_6615_6B96,20,20.0,2026-04-16T19:18:40.729555,import,D-000-D-00
PAST_1109_1C84,20,12.0,04/03/2026 19:18,import,P-001-P-01
VALID_5051_6833,40,32.7,2026-04-13 19:18:40,transshipment,D-006-B-05
VALID_7027_C198,20,28.5,2026-04-14T19:18:40.705133,export,A-002-B-02
VALID_4306_8E39,20,5.7,04/18/2026 19:18,export,B-008-C-05
VALID_6365_1703,20,34.8,2026-04-16,export,D-006-C-01
VALID_6443_157D,40,31.9,2026-04-19,import,D-014-B-03
VALID_5984_BD4A,20,22.2,04/22/2026 19:18,import,E-019-A-02
PAST_5170_5B6A,20,12.0,2026-03-17,import,P-001-P-01
VALID_9000_74E5,40,20.7,2026-04-16,export,D-012-B-04
HIGH_W_1837_51AD,40,150.0,2026-04-16T19:18:40.729695,export,X-002-X-02
VALID_6824_FEA7,20,35.6,2026-04-24T19:18:40.721146,import,E-003-A-04
SIZE_2015_79B4,45,25.0,04/16/2026 19:18,transshipment,X-003-X-03
VALID_1721_E459,20,22.6,2026-04-15T19:18:40.719526,export,A-008-C-01
VALID_5557_DF03,40,21.0,04/20/2026 19:18,import,D-009-B-05
VALID_5437_F0FD,20,4.2,2026-04-23 19:18:40,import,A-013-B-03
VALID_1558_314B,40,11.5,04/17/2026 19:18,export,C-004-A-01
VALID_5013_F5AD,20,21.5,2026-04-15T19:18:40.725667,export,D-016-A-05
,20,15.0,04/16/2026 19:18,import,Z-000-Z-00
VALID_5163_0DDB,40,3.6,2026-04-14 19:18:40,export,D-014-A-01
DUP_6615_6B96,20,20.0,2026-04-16T19:18:40.729555,import,D-000-D-00
VALID_2483_BBD9,40,13.0,2026-04-22T19:18:40.708002,import,C-019-C-05
VALID_2417_A913,40,36.6,2026-04-14T19:18:40.719048,transshipment,D-011-B-05
VALID_7583_AC71,20,24.6,04/14/2026 19:18,export,B-005-B-01
VALID_3267_A7E3,40,41.7,2026-04-12,transshipment,E-013-B-05
VALID_9381_AEEF,40,32.2,2026-04-26 19:18:40,import,D-015-C-01
VALID_6092_7A5E,40,5.2,2026-04-21 19:18:40,import,C-003-C-03
VALID_1269_EAA5,20,15.9,04/24/2026 19:18,import,D-006-A-01
VALID_4669_8E28,20,17.3,04/18/2026 19:18,export,D-020-A-02
VALID_5911_1B44,40,28.8,2026-04-19,import,B-008-B-02
VALID_9773_BDC5,40,39.1,04/12/2026 19:18,transshipment,E-005-B-05
VALID_5625_1C3F,20,22.8,2026-04-14,transshipment,B-010-A-02
VALID_4410_26F5,40,3.1,2026-04-13 19:18:40,transshipment,E-004-C-05
VALID_2650_665D,20,20.8,2026-04-14,transshipment,B-008-B-04
FMT_5237_0ADE,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
DUP_2030_E882,40,20.0,2026-04-16T19:18:40.729367,import,D-000-D-00
VALID_8758_DDB3,40,20.8,2026-04-15 19:18:40,export,C-019-C-05
VALID_6245_6FF3,20,21.0,2026-04-23T19:18:40.709765,import,C-012-B-02
VALID_2712_49A8,20,38.7,2026-04-12T19:18:40.707112,transshipment,E-018-B-01
VALID_5655_C78A,40,4.0,04/16/2026 19:18,import,D-013-A-03
VALID_8223_4276,40,19.3,2026-04-13T19:18:40.711544,transshipment,D-013-B-01
VALID_7676_F13F,20,5.1,04/14/2026 19:18,export,E-005-C-02
VALID_3544_B41C,40,17.0,2026-04-14 19:18:40,transshipment,B-001-C-05
HIGH_W_1817_91BA,40,150.0,04/16/2026 19:18,export,X-002-X-02
FMT_4708_F417,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_7128_8FA0,20,13.9,2026-04-17 19:18:40,export,E-010-C-05
VALID_7034_5B16,40,19.1,2026-04-12T19:18:40.708483,transshipment,C-001-B-01
VALID_3610_2A52,40,10.0,2026-04-20,import,E-001-C-03
VALID_3462_555C,40,25.0,04/17/2026 19:18,import,A-008-A-02
VALID_7352_4D54,20,36.3,04/18/2026 19:18,export,B-011-B-04
VALID_9555_20B2,40,35.3,2026-04-16 19:18:40,export,A-005-B-03
VALID_5694_17D0,20,39.7,2026-04-19 19:18:40,export,D-015-B-02
VALID_3859_29E4,20,10.9,2026-04-13T19:18:40.707207,transshipment,C-003-B-02
VALID_1932_EFBB,20,11.1,2026-04-14 19:18:40,transshipment,C-001-A-01
VALID_9784_EFAD,40,26.5,2026-04-17T19:18:40.705917,export,C-015-C-03
VALID_4151_2717,20,33.8,04/24/2026 19:18,import,C-001-A-01
VALID_2752_FAA4,20,24.0,04/17/2026 19:18,export,E-016-B-02
VALID_1009_ACEA,40,19.1,2026-04-12,transshipment,A-006-A-01
VALID_5926_9068,40,3.7,2026-04-16T19:18:40.720714,export,D-017-B-02
DUP_2306_974C,20,20.0,2026-04-16T19:18:40.729349,import,D-000-D-00
PAST_8599_2333,20,12.0,03/29/2026 19:18,import,P-001-P-01
VALID_8039_DB09,20,35.8,2026-04-15T19:18:40.719888,export,A-003-A-05
VALID_6160_4632,20,12.3,2026-04-19 19:18:40,export,E-010-C-02
VALID_7343_FBE2,40,32.2,04/13/2026 19:18,transshipment,E-020-B-01
VALID_8756_C3A4,20,23.2,2026-04-17 19:18:40,export,E-002-B-04
VALID_4891_E12D,20,7.2,2026-04-16 19:18:40,import,B-011-B-03
VALID_6793_D307,40,19.8,2026-04-13,transshipment,E-011-A-04
VALID_2420_95CA,40,36.4,2026-04-18T19:18:40.711125,export,B-020-B-04
VALID_9541_2F87,40,31.4,2026-04-16T19:18:40.722817,export,C-006-A-02
VALID_9299_5B1B,20,23.0,04/12/2026 19:18,transshipment,B-010-B-05
,20,15.0,2026-04-16 19:18:40,import,Z-000-Z-00
FMT_8074_C4EC,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_5377_F21E,40,30.0,2026-04-18,export,D-008-B-04
VALID_8196_7BFA,20,21.0,04/26/2026 19:18,import,C-016-B-04
VALID_7233_7110,40,20.1,04/18/2026 19:18,export,E-007-B-01
VALID_6881_5253,20,6.5,2026-04-14 19:18:40,export,C-019-C-05
VALID_5943_3FB9,40,18.3,2026-04-13T19:18:40.727455,transshipment,C-007-C-04
VALID_5086_31CA,20,8.5,2026-04-19T19:18:40.727530,export,E-009-B-02
VALID_9055_25DB,20,3.5,2026-04-15T19:18:40.712818,export,E-018-B-05
DUP_4703_D6A0,40,20.0,04/16/2026 19:18,import,D-000-D-00
VALID_7082_10DC,40,29.0,04/12/2026 19:18,transshipment,C-013-A-03
VALID_4247_77B2,40,20.7,2026-04-26T19:18:40.714663,import,C-020-B-03
HIGH_W_6943_ADD8,40,150.0,2026-04-16T19:18:40.730272,export,X-002-X-02
VALID_6877_3DDB,20,26.9,2026-04-15T19:18:40.708875,export,D-005-C-02
VALID_1652_F6EE,20,31.4,2026-04-14 19:18:40,export,B-019-B-02
,20,15.0,2026-04-16,import,Z-000-Z-00
VALID_1137_154C,40,24.6,2026-04-14,transshipment,B-015-C-03
VALID_1829_43E0,40,40.9,2026-04-21,import,B-003-C-01
VALID_8668_8B7B,20,29.8,04/14/2026 19:18,transshipment,D-005-B-04
FMT_4821_91F3,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_1805_313A,40,5.1,2026-04-18 19:18:40,export,C-014-C-01
VALID_7494_B649,40,31.1,2026-04-16T19:18:40.712985,import,E-001-A-05
VALID_3677_FCC1,40,26.8,2026-04-17T19:18:40.714506,export,D-017-C-03
PAST_7082_26F2,20,12.0,2026-03-22 19:18:40,import,P-001-P-01
VALID_5332_889E,40,39.3,2026-04-19 19:18:40,export,C-005-B-03
VALID_1305_13DE,20,14.2,2026-04-18T19:18:40.705892,import,B-007-B-01
VALID_9424_D758,20,37.5,2026-04-21T19:18:40.723236,import,B-005-C-04
VALID_7663_145F,20,32.0,2026-04-13T19:18:40.710794,transshipment,D-006-B-03
VALID_6886_A841,20,42.3,2026-04-17T19:18:40.709266,import,C-012-A-01
VALID_4645_A03B,40,21.8,2026-04-18 19:18:40,export,A-007-A-04
VALID_7933_AD9B,20,41.1,2026-04-21T19:18:40.710940,import,E-004-C-03
VALID_2291_5BD0,20,33.3,2026-04-12,transshipment,E-009-B-02
VALID_2503_B467,40,42.2,2026-04-14,transshipment,D-003-B-03
VALID_6035_4C13,20,22.8,2026-04-12T19:18:40.720489,transshipment,C-011-C-02
NULL_3599_11BA,20,15.0,,import,Z-000-Z-00
PAST_9463_897D,20,12.0,2026-03-13T19:18:40.730926,import,P-001-P-01
VALID_6941_B83F,20,41.2,2026-04-14T19:18:40.727662,transshipment,E-017-B-05
VALID_5816_A832,40,42.5,2026-04-26T19:18:40.724222,import,D-012-B-05
VALID_1366_7D00,20,15.8,04/19/2026 19:18,import,B-008-B-02
VALID_9352_E2B7,40,7.4,2026-04-14 19:18:40,transshipment,C-014-B-01
VALID_3126_D4EA,20,28.9,2026-04-16T19:18:40.723303,export,E-014-A-05
PAST_8982_4932,20,12.0,2026-03-16 19:18:40,import,P-001-P-01
VALID_2890_FC10,40,12.7,2026-04-14 19:18:40,transshipment,D-001-B-05
VALID_4394_4A36,20,31.9,2026-04-13,transshipment,E-014-A-01
